"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"871","Hist1h4n",0.0027665151687229,-2.62407643876326,0.042,0.167,0.0270682349206976,"Hist1h4n"
"872","Zfp882",0.000528567527114697,-2.6558915342597,0.051,0.208,0.00722869147492901,"Zfp882"
"873","Casp8",0.0028227198711798,-2.65894982531289,0.062,0.208,0.0274531062106046,"Casp8"
"874","Zbtb11os1",7.45956047760333e-05,-2.66827321502162,0.079,0.292,0.00132597308635262,"Zbtb11os1"
"875","Them4",0.000530317536440441,-2.67320475903037,0.151,0.375,0.00723861786905823,"Them4"
"876","Slit2",0.000551794154907075,-2.68792635483868,0.051,0.208,0.00749733672256394,"Slit2"
"877","Abca16",0.00570829245060588,-2.69886420849365,0.047,0.167,0.0473707419399571,"Abca16"
"878","Ndufa4l2",0.0041082805937788,-2.70896207649961,0.045,0.167,0.0372825191183879,"Ndufa4l2"
"879","Klhl13",9.20628851056712e-15,-2.71366011243135,0.272,0.875,4.46504992762505e-13,"Klhl13"
"880","Fam214a",0.00543344401480911,-2.71977348642832,0.07,0.208,0.0461087221812915,"Fam214a"
"881","Plk2",0.0016459650466248,-2.72797003205789,0.278,0.542,0.0183473744580772,"Plk2"
"882","Dnajb9",0.00119682368788985,-2.75823143237563,0.229,0.458,0.0139458047386815,"Dnajb9"
"883","Tsen2",1.32213628634662e-09,-2.77344552066306,0.557,0.917,5.20573392099972e-08,"Tsen2"
"884","Hspa2",0.00398318327863299,-2.78266047855723,0.093,0.25,0.0364407779401233,"Hspa2"
"885","Pnpla8",8.1963862734021e-07,-2.78314657994277,0.357,0.708,2.13997272275438e-05,"Pnpla8"
"886","Pls3",7.57815120862205e-06,-2.79769045750524,0.085,0.333,0.000164197012947762,"Pls3"
"887","C1d",0.00113136135022457,-2.80874649632224,0.794,0.833,0.0133207794989865,"C1d"
"888","Fam222a",5.76827947776845e-05,-2.80916060882957,0.056,0.25,0.00105346620337749,"Fam222a"
"889","Dazl",1.89221065812311e-06,-2.82315901977035,0.119,0.417,4.72150076823325e-05,"Dazl"
"890","Sec22c",0.000272390545869635,-2.83781918586795,0.047,0.208,0.00407112686260464,"Sec22c"
"891","Thy1",3.97631819292659e-05,-2.84614691378089,0.056,0.25,0.000751498484797364,"Thy1"
"892","Cox6b2",1.53215936179923e-05,-2.86808589001412,0.473,0.75,0.000316523810610343,"Cox6b2"
"893","AV356131",0.00356329771513699,-2.87930671106234,0.026,0.125,0.0333492789991127,"AV356131"
"894","Gm26549",0.000918176611954946,-2.89158146892641,0.054,0.208,0.0111513539264545,"Gm26549"
"895","Gm10800",0.00442708173782688,-2.8953501427818,0.028,0.125,0.0393945724264583,"Gm10800"
"896","Snai3",0.00100320746327724,-2.90244793753454,0.056,0.208,0.0119950854813239,"Snai3"
"897","Arl4d",0.000382941251886005,-2.91570926019339,0.072,0.25,0.00547464740264672,"Arl4d"
"898","Wls",0.000962061242993957,-2.91959980994424,0.076,0.25,0.0115977868527839,"Wls"
